Year,Quarter,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2017,1,DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.60,0,0,0,0,0,0,0,0
2017,1,LEMON CREEK PARK,STATEN ISLAND,104.55,0,0,0,0,0,0,0,0
2017,1,SPRING CREEK PARK,BROOKLYN/QUEENS,99.57,0,0,0,0,0,0,0,0
2017,1,HIGH ROCK PARK,STATEN ISLAND,94.10,0,0,0,0,0,0,0,0
2017,1,LONG POND PARK,STATEN ISLAND,91.95,0,0,0,0,0,0,0,0
2017,1,BROOKVILLE PARK,QUEENS       ,89.95,0,0,1,0,0,0,0,1
2017,1,ISLE OF MEADOWS,STATEN ISLAND,87.52,0,0,0,0,0,0,0,0
2017,1,CALVERT VAUX PARK,BROOKLYN     ,85.53,0,0,0,1,0,0,0,1
2017,1,PUGSLEY CREEK PARK,BRONX        ,83.62,0,0,1,0,0,0,0,1
2017,1,SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.30,0,0,0,0,0,0,0,0
2017,1,MOSHOLU PARKWAY,BRONX        ,80.94,0,0,0,0,0,0,0,0
2017,1,MCGUIRE FIELDS,BROOKLYN     ,77.18,0,0,0,0,0,0,0,0
2017,1,FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.04,0,0,0,0,0,0,0,0
2017,1,JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.75,0,0,0,0,0,0,0,0
2017,1,FORT TRYON PARK,MANHATTAN    ,67.21,0,0,1,0,0,1,0,2
2017,1,RIVERSIDE PARK SOUTH,MANHATTAN    ,66.69,0,0,0,0,0,0,0,0
2017,1,EASTERN PARKWAY,BROOKLYN     ,65.70,0,0,0,0,0,0,0,0
2017,1,FOUR SPARROW MARSH,BROOKLYN     ,64.67,0,0,0,0,0,0,0,0
2017,1,FORT TOTTEN PARK,QUEENS       ,60.39,0,0,0,0,0,0,0,0
2017,1,ASTORIA PARK,QUEENS       ,59.96,0,0,0,0,0,0,0,0
2017,1,LAURELTON PARKWAY,QUEENS       ,59.61,0,0,0,0,0,0,0,0
2017,1,RED HOOK RECREATION AREA,BROOKLYN     ,58.50,0,0,1,0,0,0,0,1
2017,1,SHORE PARK AND PARKWAY,BROOKLYN     ,58.00,0,0,0,0,0,0,0,0
2017,1,SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.92,0,0,0,0,0,0,0,0
2017,1,JUNIPER VALLEY PARK,QUEENS       ,55.64,0,0,0,0,0,0,0,0
2017,1,LITTLE BAY PARK,QUEENS       ,55.22,0,0,0,0,0,0,0,0
2017,1,POWELL'S COVE PARK,QUEENS       ,55.02,0,0,0,0,0,0,0,0
2017,1,HENRY HUDSON PARKWAY,BRONX        ,54.10,0,0,0,0,0,0,0,0
2017,1,HARLEM RIVER PARK,MANHATTAN    ,53.97,0,0,1,0,0,0,0,1
2017,1,DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,53.30,0,0,0,0,0,0,0,0
2017,1,ROY WILKINS RECREATION CENTER,QUEENS       ,53.24,0,0,0,0,0,0,0,0
2017,1,REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.38,0,0,0,0,0,0,0,0
2017,1,BROOKLYN BOTANIC GARDEN,BROOKLYN     ,47.57,0,0,0,0,0,0,0,0
2017,1,MEREDITH WOODS,STATEN ISLAND,47.52,0,0,0,0,0,0,0,0
2017,1,QUEENS FARM PARK,QUEENS       ,47.08,0,0,0,0,0,0,0,0
2017,1,EAST RIVER PARK,MANHATTAN    ,45.88,0,0,1,0,0,0,0,1
2017,1,CROCHERON PARK,QUEENS       ,45.79,0,0,0,0,0,0,0,0
2017,1,MACOMBS DAM PARK,BRONX        ,44.17,0,0,2,0,0,1,0,3
2017,1,MANHATTAN BEACH PARK,BROOKLYN     ,42.94,0,0,0,0,0,0,0,0
2017,1,UDALL'S PARK PRESERVE,QUEENS       ,42.77,0,0,0,0,0,0,0,0
2017,1,FAIRVIEW PARK,STATEN ISLAND,42.60,0,0,0,0,0,0,0,0
2017,1,BAYSWATER PARK,QUEENS       ,40.07,0,0,0,0,0,0,0,0
2017,1,DEERE PARK,STATEN ISLAND,39.78,0,0,0,0,0,0,0,0
2017,1,PARADE GROUND,BROOKLYN     ,39.50,0,0,0,0,0,0,0,0
2017,1,CLAREMONT PARK,BRONX        ,38.54,0,0,4,0,0,0,0,4
2017,1,BROAD CHANNEL WETLANDS,QUEENS       ,37.95,0,0,0,0,0,0,0,0
2017,1,CONEY ISLAND BOAT BASIN,BROOKLYN     ,36.81,0,0,0,0,0,0,0,0
2017,1,BUNKER PONDS PARK,STATEN ISLAND,36.69,0,0,0,0,0,0,0,0
2017,1,SETON FALLS PARK,BRONX        ,35.77,0,0,0,0,0,0,0,0
2017,1,MCCARREN PARK,BROOKLYN     ,35.71,0,0,0,0,0,0,0,0
2017,1,ST. MARY'S PARK BRONX,BRONX        ,35.31,0,0,0,0,0,1,0,1
2017,1,SHOOTERS ISLAND,STATEN ISLAND,34.69,0,0,0,0,0,0,0,0
2017,1,NORTH BROTHER ISLAND,BRONX        ,30.40,0,0,0,0,0,0,0,0
2017,1,FORT GREENE PARK,BROOKLYN     ,30.17,0,0,1,0,0,1,0,2
2017,1,BATTERY PARK CITY,MANHATTAN    ,29.99,0,0,0,0,0,0,0,0
2017,1,MORNINGSIDE PARK,MANHATTAN    ,29.89,0,0,1,0,0,0,0,1
2017,1,MACNEIL PARK,QUEENS       ,28.87,0,0,0,0,0,0,0,0
2017,1,ALLEY ATHLETIC PLAYGROUND,QUEENS       ,27.53,0,0,0,0,0,0,0,0
2017,1,VERNAM BARBADOES PENINSULA,QUEENS       ,27.48,0,0,0,0,0,0,0,0
2017,1,COLLEGE POINT FIELDS,QUEENS       ,26.83,0,0,0,0,0,0,0,0
2017,1,KAISER PARK,BROOKLYN     ,26.26,0,0,0,0,0,0,0,0
2017,1,SUNSET PARK,BROOKLYN     ,24.50,0,0,1,0,0,1,0,2
2017,1,OWL'S HEAD PARK,BROOKLYN     ,24.22,0,0,0,0,0,0,0,0
2017,1,SPRINGFIELD PARK,QUEENS       ,23.54,0,0,0,0,0,0,0,0
2017,1,RECREATIONAL AREA,MANHATTAN    ,23.09,0,0,0,0,0,0,0,0
2017,1,KING FISHER PARK,STATEN ISLAND,23.01,0,0,0,0,0,0,0,0
2017,1,SIEDENBURG PARK,STATEN ISLAND,22.88,0,0,0,0,0,0,0,0
2017,1,ST. NICHOLAS PARK,MANHATTAN    ,22.74,0,0,0,0,0,0,0,0
2017,1,SOUTH BROTHER ISLAND,BRONX        ,22.16,0,0,0,0,0,0,0,0
2017,1,LOCUST POINT MARINA,BRONX        ,22.07,0,0,0,0,0,0,0,0
2017,1,BATTERY PARK,MANHATTAN    ,21.88,0,0,0,0,0,0,0,0
2017,1,BROOKLYN BRIDGE PARK,BROOKLYN     ,21.19,0,0,0,0,1,1,0,2
2017,1,ASSER LEVY PARK,BROOKLYN     ,21.04,0,0,0,0,0,0,0,0
2017,1,SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.91,0,0,0,0,0,0,0,0
2017,1,WAVE HILL,BRONX        ,20.87,0,0,0,0,0,0,0,0
2017,1,QUEENSBRIDGE PARK,QUEENS       ,20.34,0,0,0,0,0,0,0,0
2017,1,MARCUS GARVEY PARK,MANHATTAN    ,20.17,0,0,0,1,0,0,0,1
2017,1,ISHAM PARK,MANHATTAN    ,20.13,0,0,0,0,0,0,0,0
2017,1,WILLIAMSBRIDGE OVAL,BRONX        ,19.75,0,0,0,0,0,0,0,0
2017,1,BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,19.56,0,0,0,0,0,0,0,0
2017,1,BROAD CHANNEL AMERICAN PARK,QUEENS       ,18.77,0,0,0,0,0,0,0,0
2017,1,THEODORE ROOSEVELT PARK,MANHATTAN    ,17.57,0,0,0,0,0,0,0,0
2017,1,BENSONHURST PARK,BROOKLYN     ,17.50,0,0,2,0,0,0,0,2
2017,1,LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,17.14,0,0,0,0,0,0,0,0
2017,1,JOHN GOLDEN PARK,QUEENS       ,17.00,0,0,0,0,0,0,0,0
2017,1,BAYVIEW TERRACE PARK,STATEN ISLAND,16.94,0,0,0,0,0,0,0,0
2017,1,JONES WOODS PARK,STATEN ISLAND,16.93,0,0,0,0,0,0,0,0
2017,1,FRANCIS LEWIS PARK,QUEENS       ,16.83,0,0,0,0,0,0,0,0
2017,1,LEIF ERICSON PARK,BROOKLYN     ,16.80,0,0,0,0,0,0,0,0
2017,1,EIBS POND PARK,STATEN ISLAND,16.51,0,0,0,0,0,0,0,0
2017,1,RAILROAD PARK QUEENS,QUEENS       ,16.44,0,0,0,0,0,0,0,0
2017,1,BREUKELEN BALLFIELDS,BROOKLYN     ,16.16,0,0,0,0,0,0,0,0
2017,1,FRANZ SIGEL PARK,BRONX        ,15.99,0,0,0,0,0,0,0,0
2017,1,THOMAS JEFFERSON PARK,MANHATTAN    ,15.52,0,0,0,1,0,0,0,1
2017,1,ALICE AUSTEN PARK,STATEN ISLAND,15.52,0,0,0,0,0,0,0,0
2017,1,MILL POND PARK,BRONX        ,15.50,0,0,0,0,0,0,0,0
2017,1,SHERMAN CREEK,MANHATTAN    ,15.38,0,0,0,0,0,0,0,0
2017,1,HARRIS PARK,BRONX        ,15.32,0,0,0,0,0,0,0,0
2017,1,GOODHUE,STATEN ISLAND,15.06,0,0,0,0,0,0,0,0
2017,1,MULLALY PARK,BRONX        ,15.05,0,0,2,1,0,1,0,4
2017,1,TREMONT PARK,BRONX        ,15.00,0,0,0,0,0,0,0,0
2017,1,CARL SCHURZ PARK,MANHATTAN    ,14.94,0,0,0,0,0,0,0,0
2017,1,GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,14.26,0,0,0,0,0,0,0,0
2017,1,VON BRIESEN PARK,STATEN ISLAND,13.94,0,0,0,0,0,0,0,0
2017,1,MOTOR PARKWAY,QUEENS       ,13.89,0,0,0,0,0,0,0,0
2017,1,UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,13.83,0,0,0,0,0,0,0,0
