Year,Quarter,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2019,1,PELHAM BAY PARK,BRONX        ,2771.747,0,0,0,0,0,1,0,1
2019,1,VAN CORTLANDT PARK,BRONX        ,1146.430,0,0,0,0,0,0,0,0
2019,1,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,0,0,0,0,0,0,0,0
2019,1,FRESHKILLS PARK,STATEN ISLAND,913.320,0,0,0,0,0,0,0,0
2019,1,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.690,0,1,1,1,1,4,0,8
2019,1,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.970,0,0,0,0,0,0,0,0
2019,1,MARINE PARK,BROOKLYN     ,798.000,0,0,0,0,0,0,0,0
2019,1,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.430,0,0,0,0,0,0,0,0
2019,1,BRONX PARK,BRONX        ,718.373,0,0,1,0,0,0,0,1
2019,1,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.350,0,0,0,0,0,0,0,0
2019,1,ALLEY POND PARK,QUEENS       ,635.514,0,0,0,0,0,0,0,0
2019,1,PROSPECT PARK,BROOKLYN     ,526.250,0,0,1,0,0,3,0,4
2019,1,FOREST PARK,QUEENS       ,506.860,0,0,0,0,0,0,0,0
2019,1,GRAND CENTRAL PARKWAY,QUEENS       ,460.160,0,0,0,0,0,0,0,0
2019,1,FERRY POINT PARK,BRONX        ,413.800,0,0,0,0,0,0,0,0
2019,1,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.203,0,0,2,0,0,0,0,2
2019,1,CUNNINGHAM PARK,QUEENS       ,358.000,0,0,0,0,0,0,0,0
2019,1,RICHMOND PARKWAY,STATEN ISLAND,350.983,0,0,0,0,0,0,0,0
2019,1,CROSS ISLAND PARKWAY,QUEENS       ,326.895,0,0,0,0,0,0,0,0
2019,1,GREAT KILLS PARK,STATEN ISLAND,315.094,0,0,0,0,0,0,0,0
2019,1,WOLFE'S POND PARK,STATEN ISLAND,302.693,0,0,0,0,0,0,0,0
2019,1,CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,0,0,0,0,0,0,0,0
2019,1,RANDALL'S ISLAND PARK,MANHATTAN    ,256.111,0,0,0,0,0,2,0,2
2019,1,ROCKAWAY COMMUNITY PARK,QUEENS       ,255.400,0,0,0,0,0,0,0,0
2019,1,KISSENA PARK,QUEENS       ,237.147,0,0,0,0,0,0,0,0
2019,1,RIVERSIDE PARK,MANHATTAN    ,235.765,0,0,1,0,1,1,0,3
2019,1,HUTCHINSON RIVER PARKWAY,BRONX        ,229.140,0,0,0,0,0,0,0,0
2019,1,BLUE HERON PARK,STATEN ISLAND,217.450,0,0,0,0,0,0,0,0
2019,1,DYKER BEACH PARK,BROOKLYN     ,216.655,0,0,1,0,0,0,0,1
2019,1,WILLOWBROOK PARK,STATEN ISLAND,214.947,0,0,0,0,0,0,0,0
2019,1,STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,0,0,0,0,0,0,0,0
2019,1,SILVER LAKE PARK,STATEN ISLAND,205.977,0,0,0,0,0,0,0,0
2019,1,BRONX RIVER PARKWAY,BRONX        ,205.647,0,0,0,0,0,0,0,0
2019,1,SOUNDVIEW PARK,BRONX        ,205.310,0,0,0,0,0,0,0,0
2019,1,BELT PARKWAY,QUEENS       ,202.647,0,0,0,0,0,0,0,0
2019,1,WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,0,0,0,0,0,0,0,0
2019,1,INWOOD HILL PARK,MANHATTAN    ,196.398,0,0,0,0,0,0,0,0
2019,1,CLOVE LAKES PARK,STATEN ISLAND,193.423,0,0,0,0,0,0,0,0
2019,1,FORT WASHINGTON PARK,MANHATTAN    ,184.143,0,0,0,0,0,0,0,0
2019,1,IDLEWILD PARK,QUEENS       ,180.850,0,0,0,0,0,0,0,0
2019,1,WARDS ISLAND PARK,MANHATTAN    ,176.581,0,0,0,0,0,0,0,0
2019,1,SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,0,0,0,0,0,0,0,0
2019,1,SAW MILL CREEK MARSH,STATEN ISLAND,171.778,0,0,0,0,0,0,0,0
2019,1,BLOOD ROOT VALLEY,STATEN ISLAND,161.242,0,0,0,0,0,0,0,0
2019,1,JAMAICA BAY PARK,QUEENS       ,149.540,0,0,0,0,0,0,0,0
2019,1,KISSENA CORRIDOR PARK,QUEENS       ,146.810,0,0,0,0,0,0,0,0
2019,1,HIGHLAND PARK,BROOKLYN/QUEENS,146.339,0,0,2,0,0,0,0,2
2019,1,ARDEN WOODS,STATEN ISLAND,145.864,0,0,0,0,0,0,0,0
2019,1,RIVERDALE PARK,BRONX        ,144.290,0,0,0,0,0,0,0,0
2019,1,OCEAN PARKWAY MALLS,BROOKLYN     ,140.000,0,0,0,0,0,0,0,0
2019,1,BLOOMINGDALE PARK,STATEN ISLAND,138.100,0,0,0,0,0,0,0,0
2019,1,OCEAN BREEZE PARK,STATEN ISLAND,136.568,0,0,0,0,0,0,0,0
2019,1,CANARSIE PARK,BROOKLYN     ,132.200,0,0,0,0,0,0,0,0
2019,1,HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.100,0,0,0,0,0,0,0,0
2019,1,CROTONA PARK,BRONX        ,127.500,0,0,1,0,0,0,0,1
2019,1,PAERDEGAT BASIN PARK,BROOKLYN     ,118.795,0,0,0,0,0,0,0,0
2019,1,HOOK CREEK PARK,QUEENS       ,111.163,0,0,0,0,0,0,0,0
2019,1,CRESCENT BEACH PARK,STATEN ISLAND,110.960,0,0,0,0,0,0,0,0
2019,1,CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.930,0,0,0,0,0,0,0,0
2019,1,BAISLEY POND PARK,QUEENS       ,109.609,0,0,0,0,0,0,0,0
2019,1,PELHAM PARKWAY,BRONX        ,108.910,0,0,0,0,0,0,0,0
2019,1,PRALLS ISLAND,STATEN ISLAND,107.514,0,0,0,0,0,0,0,0
2019,1,MARINERS MARSH PARK,STATEN ISLAND,107.200,0,0,0,0,0,0,0,0
2019,1,DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.600,0,0,0,0,0,0,0,0
2019,1,LEMON CREEK PARK,STATEN ISLAND,104.545,0,0,0,0,0,0,0,0
2019,1,SPRING CREEK PARK,BROOKLYN/QUEENS,99.566,0,0,0,0,0,0,0,0
2019,1,HIGH ROCK PARK,STATEN ISLAND,94.100,0,0,0,0,0,0,0,0
2019,1,LONG POND PARK,STATEN ISLAND,91.948,0,0,0,0,0,0,0,0
2019,1,BROOKVILLE PARK,QUEENS       ,89.946,0,0,0,0,0,0,0,0
2019,1,ISLE OF MEADOWS,STATEN ISLAND,87.516,0,0,0,0,0,0,0,0
2019,1,CALVERT VAUX PARK,BROOKLYN     ,85.527,0,0,0,0,0,0,0,0
2019,1,PUGSLEY CREEK PARK,BRONX        ,83.615,0,0,0,0,0,0,0,0
2019,1,SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.300,0,0,0,0,0,0,0,0
2019,1,MOSHOLU PARKWAY,BRONX        ,80.936,0,0,1,0,0,0,0,1
2019,1,MCGUIRE FIELDS,BROOKLYN     ,77.181,0,0,0,0,0,0,0,0
2019,1,FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.044,0,0,0,0,0,0,0,0
2019,1,JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.750,0,0,0,0,0,0,0,0
2019,1,FORT TRYON PARK,MANHATTAN    ,67.213,0,0,0,0,0,0,0,0
2019,1,RIVERSIDE PARK SOUTH,MANHATTAN    ,66.693,0,0,0,0,0,0,0,0
2019,1,EASTERN PARKWAY,BROOKLYN     ,65.700,0,0,0,0,0,0,0,0
2019,1,FOUR SPARROW MARSH,BROOKLYN     ,64.665,0,0,0,0,0,0,0,0
2019,1,FORT TOTTEN PARK,QUEENS       ,60.394,0,0,0,0,0,0,0,0
2019,1,ASTORIA PARK,QUEENS       ,59.956,0,0,0,0,0,0,0,0
2019,1,LAURELTON PARKWAY,QUEENS       ,59.612,0,0,0,0,0,0,0,0
2019,1,RED HOOK RECREATION AREA,BROOKLYN     ,58.503,0,0,0,0,0,0,0,0
2019,1,SHORE PARK AND PARKWAY,BROOKLYN     ,58.000,0,0,0,0,0,0,0,0
2019,1,SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.921,0,0,0,0,0,0,0,0
2019,1,JUNIPER VALLEY PARK,QUEENS       ,55.639,0,0,0,0,0,0,0,0
2019,1,LITTLE BAY PARK,QUEENS       ,55.220,0,0,0,0,0,0,0,0
2019,1,POWELL'S COVE PARK,QUEENS       ,55.023,0,0,0,0,0,0,0,0
2019,1,HENRY HUDSON PARKWAY,BRONX        ,54.100,0,0,0,0,0,0,0,0
2019,1,HARLEM RIVER PARK,MANHATTAN    ,53.967,0,0,0,0,0,0,0,0
2019,1,DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,53.298,0,0,0,0,0,0,0,0
