YEAR,QUARTER,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2016,4,PELHAM BAY PARK,BRONX        ,2771.75,0,0,1,0,0,0,0,1
2016,4,VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,0,0,0,1,0,1
2016,4,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.56,0,0,0,0,0,0,0,0
2016,4,FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0
2016,4,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,1,1,0,9,1,12
2016,4,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,0,0,0,0
2016,4,MARINE PARK,BROOKLYN     ,798.00,0,0,0,0,0,0,0,0
2016,4,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,0,0,0,0,0,0,0,0
2016,4,BRONX PARK,BRONX        ,718.37,0,0,1,0,0,0,0,1
2016,4,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,0,0,0
2016,4,ALLEY POND PARK,QUEENS       ,635.51,0,0,0,0,0,2,0,2
2016,4,PROSPECT PARK,BROOKLYN     ,526.25,0,0,2,0,1,6,0,9
2016,4,FOREST PARK,QUEENS       ,506.86,0,0,1,0,0,0,0,1
2016,4,GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0
2016,4,FERRY POINT PARK,BRONX        ,413.80,0,0,0,0,0,0,0,0
2016,4,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.20,0,0,3,0,1,1,0,5
2016,4,CUNNINGHAM PARK,QUEENS       ,358.00,0,0,1,0,0,0,0,1
2016,4,RICHMOND PARKWAY,STATEN ISLAND,350.98,0,0,0,0,0,0,0,0
2016,4,CROSS ISLAND PARKWAY,QUEENS       ,326.90,0,0,0,0,0,0,0,0
2016,4,GREAT KILLS PARK,STATEN ISLAND,315.09,0,0,0,0,0,0,0,0
2016,4,WOLFE'S POND PARK,STATEN ISLAND,302.69,0,0,0,0,0,0,0,0
2016,4,CONFERENCE HOUSE PARK,STATEN ISLAND,286.38,0,0,0,0,0,0,0,0
2016,4,RANDALL'S ISLAND PARK,MANHATTAN    ,256.11,0,0,0,1,0,3,0,4
2016,4,ROCKAWAY COMMUNITY PARK,QUEENS       ,255.40,0,0,0,0,0,0,0,0
2016,4,KISSENA PARK,QUEENS       ,237.15,0,0,0,0,0,0,0,0
2016,4,RIVERSIDE PARK,MANHATTAN    ,235.77,0,0,1,1,0,4,0,6
2016,4,HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,0,0,0,0,0,0,0,0
2016,4,BLUE HERON PARK,STATEN ISLAND,217.45,0,0,0,0,0,0,0,0
2016,4,DYKER BEACH PARK,BROOKLYN     ,216.66,0,1,0,0,0,2,0,3
2016,4,WILLOWBROOK PARK,STATEN ISLAND,214.95,0,0,0,0,0,0,0,0
2016,4,STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.93,0,0,0,0,0,0,0,0
2016,4,SILVER LAKE PARK,STATEN ISLAND,205.98,0,0,0,0,0,0,0,0
2016,4,BRONX RIVER PARKWAY,BRONX        ,205.65,0,1,0,0,0,0,0,1
2016,4,SOUNDVIEW PARK,BRONX        ,205.31,0,0,0,1,0,0,0,1
2016,4,BELT PARKWAY,QUEENS       ,202.65,0,0,0,0,0,0,0,0
2016,4,WILLOWBROOK PARKWAY,STATEN ISLAND,198.48,0,0,0,0,0,0,0,0
2016,4,INWOOD HILL PARK,MANHATTAN    ,196.40,0,0,1,0,0,0,0,1
2016,4,CLOVE LAKES PARK,STATEN ISLAND,193.42,0,0,2,0,0,0,0,2
