YEAR,QUARTER,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2018,2,PELHAM BAY PARK,BRONX        ,2771.75,0,0,2,2,0,0,0,4
2018,2,VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,0,0,0,0,0,0
2018,2,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.56,0,0,0,0,1,2,0,3
2018,2,FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0
2018,2,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,0,3,1,9,1,14
2018,2,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,0,0,0,0
2018,2,MARINE PARK,BROOKLYN     ,798.00,0,0,2,0,0,1,1,4
2018,2,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,0,0,0,0,0,1,0,1
2018,2,BRONX PARK,BRONX        ,718.37,0,0,8,3,0,1,0,12
2018,2,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,0,0,0
2018,2,ALLEY POND PARK,QUEENS       ,635.51,0,0,0,0,0,1,0,1
2018,2,PROSPECT PARK,BROOKLYN     ,526.25,0,1,9,0,1,5,0,16
2018,2,FOREST PARK,QUEENS       ,506.86,0,0,0,0,0,1,0,1
2018,2,GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0
2018,2,FERRY POINT PARK,BRONX        ,413.80,0,0,0,0,0,0,0,0
2018,2,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.20,0,1,1,3,0,9,0,14
2018,2,CUNNINGHAM PARK,QUEENS       ,358.00,0,0,1,0,0,1,0,2
2018,2,RICHMOND PARKWAY,STATEN ISLAND,350.98,0,0,0,0,0,0,0,0
2018,2,CROSS ISLAND PARKWAY,QUEENS       ,326.90,0,0,0,0,0,0,0,0
2018,2,GREAT KILLS PARK,STATEN ISLAND,315.09,0,0,0,0,0,0,0,0
2018,2,WOLFE'S POND PARK,STATEN ISLAND,302.69,0,0,0,0,0,0,0,0
2018,2,CONFERENCE HOUSE PARK,STATEN ISLAND,286.38,0,0,0,0,0,0,0,0
2018,2,RANDALL'S ISLAND PARK,MANHATTAN    ,256.11,0,0,0,0,0,16,0,16
2018,2,ROCKAWAY COMMUNITY PARK,QUEENS       ,255.40,0,0,0,0,0,0,0,0
2018,2,KISSENA PARK,QUEENS       ,237.15,1,0,1,0,0,0,0,2
2018,2,RIVERSIDE PARK,MANHATTAN    ,235.77,0,0,2,1,0,7,0,10
2018,2,HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,0,0,0,0,0,0,0,0
2018,2,BLUE HERON PARK,STATEN ISLAND,217.45,0,0,0,0,0,0,0,0
2018,2,DYKER BEACH PARK,BROOKLYN     ,216.66,0,0,0,0,0,1,0,1
2018,2,WILLOWBROOK PARK,STATEN ISLAND,214.95,0,0,0,0,0,0,0,0
2018,2,STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.93,0,0,0,0,0,0,0,0
2018,2,SILVER LAKE PARK,STATEN ISLAND,205.98,0,0,0,0,0,0,0,0
2018,2,BRONX RIVER PARKWAY,BRONX        ,205.65,0,0,1,0,0,0,0,1
2018,2,SOUNDVIEW PARK,BRONX        ,205.31,1,0,0,0,0,0,0,1
2018,2,BELT PARKWAY,QUEENS       ,202.65,0,0,0,0,0,0,0,0
2018,2,WILLOWBROOK PARKWAY,STATEN ISLAND,198.48,0,0,0,0,0,0,0,0
2018,2,INWOOD HILL PARK,MANHATTAN    ,196.40,0,0,0,0,0,0,0,0
2018,2,CLOVE LAKES PARK,STATEN ISLAND,193.42,0,0,0,0,0,0,0,0
2018,2,FORT WASHINGTON PARK,MANHATTAN    ,184.14,0,0,0,0,0,0,0,0
2018,2,IDLEWILD PARK,QUEENS       ,180.85,0,0,0,0,0,0,0,0
2018,2,WARDS ISLAND PARK,MANHATTAN    ,176.58,0,0,0,0,0,0,0,0
2018,2,SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.99,0,0,0,0,0,0,0,0
2018,2,SAW MILL CREEK MARSH,STATEN ISLAND,171.78,0,0,0,0,0,0,0,0
2018,2,BLOOD ROOT VALLEY,STATEN ISLAND,161.24,0,0,0,0,0,0,0,0
2018,2,JAMAICA BAY PARK,QUEENS       ,149.54,0,0,0,0,0,0,0,0
2018,2,KISSENA CORRIDOR PARK,QUEENS       ,146.81,0,0,0,0,0,1,0,1
2018,2,HIGHLAND PARK,BROOKLYN/QUEENS,146.34,0,0,0,1,0,1,0,2
2018,2,ARDEN WOODS,STATEN ISLAND,145.86,0,0,0,0,0,0,0,0
2018,2,RIVERDALE PARK,BRONX        ,144.29,0,0,0,0,0,0,0,0
2018,2,OCEAN PARKWAY MALLS,BROOKLYN     ,140.00,0,0,0,0,0,0,0,0
2018,2,BLOOMINGDALE PARK,STATEN ISLAND,138.10,0,0,1,0,0,0,0,1
2018,2,OCEAN BREEZE PARK,STATEN ISLAND,136.57,0,0,0,0,0,0,0,0
2018,2,CANARSIE PARK,BROOKLYN     ,132.20,1,0,0,0,0,0,0,1
2018,2,HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.10,0,0,0,2,0,0,0,2
2018,2,CROTONA PARK,BRONX        ,127.50,0,0,3,0,1,2,0,6
2018,2,PAERDEGAT BASIN PARK,BROOKLYN     ,118.80,0,0,0,0,0,0,0,0
2018,2,HOOK CREEK PARK,QUEENS       ,111.16,0,0,0,0,0,0,0,0
2018,2,CRESCENT BEACH PARK,STATEN ISLAND,110.96,0,0,0,0,0,0,0,0
2018,2,CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.93,0,0,0,0,0,0,0,0
2018,2,BAISLEY POND PARK,QUEENS       ,109.61,0,0,0,0,0,1,0,1
2018,2,PELHAM PARKWAY,BRONX        ,108.91,0,0,0,0,0,0,0,0
2018,2,PRALLS ISLAND,STATEN ISLAND,107.51,0,0,0,0,0,0,0,0
2018,2,MARINERS MARSH PARK,STATEN ISLAND,107.20,0,0,0,0,0,0,0,0
2018,2,DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.60,0,0,0,0,0,0,0,0
2018,2,LEMON CREEK PARK,STATEN ISLAND,104.55,0,0,0,0,0,0,0,0
2018,2,SPRING CREEK PARK,BROOKLYN/QUEENS,99.57,0,0,0,0,0,0,0,0
2018,2,HIGH ROCK PARK,STATEN ISLAND,94.10,0,0,0,0,0,0,0,0
2018,2,LONG POND PARK,STATEN ISLAND,91.95,0,0,0,0,0,0,0,0
2018,2,BROOKVILLE PARK,QUEENS       ,89.95,0,0,0,0,0,0,0,0
2018,2,ISLE OF MEADOWS,STATEN ISLAND,87.52,0,0,0,0,0,0,0,0
2018,2,CALVERT VAUX PARK,BROOKLYN     ,85.53,0,0,0,0,0,2,0,2
2018,2,PUGSLEY CREEK PARK,BRONX        ,83.62,0,0,0,0,0,0,0,0
2018,2,SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.30,0,0,0,0,0,0,0,0
2018,2,MOSHOLU PARKWAY,BRONX        ,80.94,0,0,0,0,0,0,0,0
2018,2,MCGUIRE FIELDS,BROOKLYN     ,77.18,0,0,0,0,0,0,0,0
2018,2,FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.04,0,0,0,0,0,0,0,0
2018,2,JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.75,0,0,0,0,0,0,0,0
2018,2,FORT TRYON PARK,MANHATTAN    ,67.21,0,0,1,0,0,2,0,3
2018,2,RIVERSIDE PARK SOUTH,MANHATTAN    ,66.69,0,0,0,0,0,0,0,0
2018,2,EASTERN PARKWAY,BROOKLYN     ,65.70,0,0,0,0,0,0,0,0
2018,2,FOUR SPARROW MARSH,BROOKLYN     ,64.67,0,0,0,0,0,0,0,0
2018,2,FORT TOTTEN PARK,QUEENS       ,60.39,0,1,0,0,0,0,0,1
2018,2,ASTORIA PARK,QUEENS       ,59.96,0,0,1,0,0,2,0,3
2018,2,LAURELTON PARKWAY,QUEENS       ,59.61,0,0,0,0,0,0,0,0
