YEAR,QUARTER,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2017,3,PELHAM BAY PARK,BRONX        ,2771.75,0,1,0,0,0,1,0,2
2017,3,VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,1,0,1,1,0,3
2017,3,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.56,0,1,1,2,0,10,0,14
2017,3,FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0
2017,3,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,6,1,0,9,0,16
2017,3,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,0,0,0,0
2017,3,MARINE PARK,BROOKLYN     ,798.00,0,0,0,0,0,0,0,0
2017,3,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,0,0,0,0,0,0,0,0
2017,3,BRONX PARK,BRONX        ,718.37,0,0,2,0,0,2,0,4
2017,3,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,0,0,0
2017,3,ALLEY POND PARK,QUEENS       ,635.51,0,0,0,0,0,0,0,0
2017,3,PROSPECT PARK,BROOKLYN     ,526.25,0,0,7,3,0,11,0,21
2017,3,FOREST PARK,QUEENS       ,506.86,0,0,0,0,0,1,0,1
2017,3,GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0
2017,3,FERRY POINT PARK,BRONX        ,413.80,0,0,0,0,0,0,0,0
2017,3,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.20,0,0,6,3,0,18,0,27
2017,3,CUNNINGHAM PARK,QUEENS       ,358.00,0,0,0,0,0,0,0,0
2017,3,RICHMOND PARKWAY,STATEN ISLAND,350.98,0,0,0,0,0,0,0,0
2017,3,CROSS ISLAND PARKWAY,QUEENS       ,326.90,0,0,0,0,0,0,0,0
2017,3,GREAT KILLS PARK,STATEN ISLAND,315.09,0,0,0,0,0,0,0,0
2017,3,WOLFE'S POND PARK,STATEN ISLAND,302.69,0,0,0,0,0,0,0,0
2017,3,CONFERENCE HOUSE PARK,STATEN ISLAND,286.38,0,0,0,0,0,0,0,0
2017,3,RANDALL'S ISLAND PARK,MANHATTAN    ,256.11,0,0,0,0,1,51,0,52
2017,3,ROCKAWAY COMMUNITY PARK,QUEENS       ,255.40,0,0,0,0,0,0,0,0
2017,3,KISSENA PARK,QUEENS       ,237.15,0,0,0,1,0,2,0,3
2017,3,RIVERSIDE PARK,MANHATTAN    ,235.77,0,0,7,0,2,9,0,18
2017,3,HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,0,0,0,0,0,0,0,0
2017,3,BLUE HERON PARK,STATEN ISLAND,217.45,0,0,0,0,0,0,0,0
2017,3,DYKER BEACH PARK,BROOKLYN     ,216.66,0,0,0,1,0,1,0,2
2017,3,WILLOWBROOK PARK,STATEN ISLAND,214.95,0,0,0,0,0,0,0,0
2017,3,STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.93,0,0,0,0,0,0,0,0
2017,3,SILVER LAKE PARK,STATEN ISLAND,205.98,0,0,0,0,0,0,0,0
2017,3,BRONX RIVER PARKWAY,BRONX        ,205.65,0,0,1,0,0,1,0,2
2017,3,SOUNDVIEW PARK,BRONX        ,205.31,0,0,0,1,0,0,0,1
2017,3,BELT PARKWAY,QUEENS       ,202.65,0,0,0,0,0,0,0,0
2017,3,WILLOWBROOK PARKWAY,STATEN ISLAND,198.48,0,0,0,0,0,0,0,0
2017,3,INWOOD HILL PARK,MANHATTAN    ,196.40,0,0,0,1,0,1,0,2
2017,3,CLOVE LAKES PARK,STATEN ISLAND,193.42,0,1,0,0,0,0,0,1
2017,3,FORT WASHINGTON PARK,MANHATTAN    ,184.14,0,0,0,0,0,0,0,0
2017,3,IDLEWILD PARK,QUEENS       ,180.85,0,0,0,0,0,0,0,0
2017,3,WARDS ISLAND PARK,MANHATTAN    ,176.58,0,0,0,0,0,0,0,0
2017,3,SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.99,0,0,0,0,0,0,0,0
2017,3,SAW MILL CREEK MARSH,STATEN ISLAND,171.78,0,0,0,0,0,0,0,0
2017,3,BLOOD ROOT VALLEY,STATEN ISLAND,161.24,0,0,0,0,0,0,0,0
2017,3,JAMAICA BAY PARK,QUEENS       ,149.54,0,0,0,0,0,0,0,0
2017,3,KISSENA CORRIDOR PARK,QUEENS       ,146.81,0,1,2,0,0,2,0,5
2017,3,HIGHLAND PARK,BROOKLYN/QUEENS,146.34,0,0,4,0,0,3,1,8
2017,3,ARDEN WOODS,STATEN ISLAND,145.86,0,0,0,0,0,0,0,0
2017,3,RIVERDALE PARK,BRONX        ,144.29,0,0,0,0,0,0,0,0
2017,3,OCEAN PARKWAY MALLS,BROOKLYN     ,140.00,0,0,0,0,0,0,0,0
2017,3,BLOOMINGDALE PARK,STATEN ISLAND,138.10,0,0,0,0,0,0,0,0
2017,3,OCEAN BREEZE PARK,STATEN ISLAND,136.57,0,0,0,0,0,0,0,0
2017,3,CANARSIE PARK,BROOKLYN     ,132.20,0,0,0,0,0,0,0,0
2017,3,HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.10,0,0,4,2,0,2,0,8
2017,3,CROTONA PARK,BRONX        ,127.50,0,0,1,5,1,7,1,15
2017,3,PAERDEGAT BASIN PARK,BROOKLYN     ,118.80,0,0,0,0,0,0,0,0
2017,3,HOOK CREEK PARK,QUEENS       ,111.16,0,0,0,0,0,0,0,0
2017,3,CRESCENT BEACH PARK,STATEN ISLAND,110.96,0,0,0,0,0,0,0,0
2017,3,CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.93,0,0,0,0,0,0,0,0
2017,3,BAISLEY POND PARK,QUEENS       ,109.61,0,0,0,1,0,0,0,1
2017,3,PELHAM PARKWAY,BRONX        ,108.91,0,0,0,0,0,0,0,0
2017,3,PRALLS ISLAND,STATEN ISLAND,107.51,0,0,0,0,0,0,0,0
2017,3,MARINERS MARSH PARK,STATEN ISLAND,107.20,0,0,0,0,0,0,0,0
2017,3,DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.60,0,0,0,0,0,0,0,0
2017,3,LEMON CREEK PARK,STATEN ISLAND,104.55,0,0,0,0,0,0,0,0
2017,3,SPRING CREEK PARK,BROOKLYN/QUEENS,99.57,0,0,0,0,0,0,0,0
2017,3,HIGH ROCK PARK,STATEN ISLAND,94.10,0,0,0,0,0,0,0,0
2017,3,LONG POND PARK,STATEN ISLAND,91.95,0,0,0,0,0,0,0,0
2017,3,BROOKVILLE PARK,QUEENS       ,89.95,0,0,0,0,0,0,0,0
2017,3,ISLE OF MEADOWS,STATEN ISLAND,87.52,0,0,0,0,0,0,0,0
2017,3,CALVERT VAUX PARK,BROOKLYN     ,85.53,0,0,1,0,0,0,0,1
2017,3,PUGSLEY CREEK PARK,BRONX        ,83.62,0,0,2,0,0,0,0,2
2017,3,SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.30,0,0,0,0,0,0,0,0
2017,3,MOSHOLU PARKWAY,BRONX        ,80.94,0,0,3,0,0,0,0,3
2017,3,MCGUIRE FIELDS,BROOKLYN     ,77.18,0,0,0,0,0,0,0,0
2017,3,FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.04,0,0,0,0,0,0,0,0
2017,3,JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.75,0,0,0,0,0,0,0,0
2017,3,FORT TRYON PARK,MANHATTAN    ,67.21,0,0,0,0,0,0,0,0
2017,3,RIVERSIDE PARK SOUTH,MANHATTAN    ,66.69,0,0,0,1,0,0,0,1
2017,3,EASTERN PARKWAY,BROOKLYN     ,65.70,0,0,0,0,0,0,0,0
2017,3,FOUR SPARROW MARSH,BROOKLYN     ,64.67,0,0,0,0,0,0,0,0
2017,3,FORT TOTTEN PARK,QUEENS       ,60.39,0,0,0,0,0,1,0,1
2017,3,ASTORIA PARK,QUEENS       ,59.96,0,0,0,4,0,0,0,4
2017,3,LAURELTON PARKWAY,QUEENS       ,59.61,0,0,0,0,0,0,0,0
2017,3,RED HOOK RECREATION AREA,BROOKLYN     ,58.50,0,0,0,0,0,0,0,0
2017,3,SHORE PARK AND PARKWAY,BROOKLYN     ,58.00,0,0,0,0,0,0,0,0
2017,3,SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.92,0,0,0,0,0,0,0,0
2017,3,JUNIPER VALLEY PARK,QUEENS       ,55.64,0,0,1,0,0,0,0,1
2017,3,LITTLE BAY PARK,QUEENS       ,55.22,0,0,0,1,0,0,0,1
2017,3,POWELL'S COVE PARK,QUEENS       ,55.02,0,0,0,0,0,0,0,0
2017,3,HENRY HUDSON PARKWAY,BRONX        ,54.10,0,0,0,0,0,0,0,0
2017,3,HARLEM RIVER PARK,MANHATTAN    ,53.97,0,0,1,0,0,0,0,1
2017,3,DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,53.30,0,0,0,0,0,0,0,0
2017,3,ROY WILKINS RECREATION CENTER,QUEENS       ,53.24,0,0,0,1,0,0,0,1
2017,3,REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.38,0,0,0,0,0,0,0,0
2017,3,BROOKLYN BOTANIC GARDEN,BROOKLYN     ,47.57,0,0,0,0,0,0,0,0
2017,3,MEREDITH WOODS,STATEN ISLAND,47.52,0,0,0,0,0,0,0,0
2017,3,QUEENS FARM PARK,QUEENS       ,47.08,0,0,0,0,0,0,0,0
2017,3,EAST RIVER PARK,MANHATTAN    ,45.88,0,0,1,0,0,1,0,2
2017,3,CROCHERON PARK,QUEENS       ,45.79,0,0,0,0,0,0,0,0
2017,3,MACOMBS DAM PARK,BRONX        ,44.17,0,0,2,0,0,3,0,5
2017,3,MANHATTAN BEACH PARK,BROOKLYN     ,42.94,0,0,0,0,0,0,0,0
2017,3,UDALL'S PARK PRESERVE,QUEENS       ,42.77,0,0,0,0,0,0,0,0
2017,3,FAIRVIEW PARK,STATEN ISLAND,42.60,0,0,0,0,0,0,0,0
2017,3,BAYSWATER PARK,QUEENS       ,40.07,0,0,1,1,0,0,0,2
